instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 2, NA, 6784.0, 2205, 2061, 2112.0, 2112.0, NA, NA, 274, 12, 0.66, False, False, False, False, False, 4.01
CA-HepPh, reduced_model, 12006, 118489, 4, 2, NA, 1.0, 5975, 6591, 6601.0, 6601.0, NA, NA, 74, 5, 0.51, False, False, False, False, False, 1.39
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 2, NA, 790.0, 6987, 6985, 7000.0, 7000.0, NA, NA, 1098, 12, 5.1, False, False, False, False, False, 10.77
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 2, NA, 1.0, 7303, 7008, 7025.0, 7025.0, NA, NA, 817, 8, 2.62, False, False, False, False, False, 6.1
CA-CondMat, reduced_model, 23133, 93439, 4, 2, NA, 1.0, 10679, 13464, 13476.0, 13476.0, NA, NA, 169, 4, 0.48, False, False, False, False, False, 1.77
Brightkite_edges, reduced_model, 58228, 214078, 2, 2, NA, 56.0, 25887, 34706, 34716.0, 34716.0, NA, NA, 0, 0, 0, False, False, False, False, False, 2.65
flickrEdges, reduced_model, 105938, 2316948, 4, 2, NA, 0.0, 554, 105386, 105387.0, 105387.0, NA, NA, 0, 1, 2.81, False, False, False, False, False, 37.77
soc-catster.e, reduced_model, 149684, 5448197, 21, 2, NA, 1.0, 72239, 78945, 78985.0, 78985.0, NA, NA, 503, 5, 22.03, False, False, False, False, False, 1117.86
Gowalla_edges, reduced_model, 196591, 950327, 3, 2, NA, 1.0, 100350, 106417, 106430.0, 106430.0, NA, NA, 87, 2, 2.4, False, False, False, False, False, 19.99
ca-citeseer, reduced_model, 227320, 814134, 3, 2, NA, 1.0, 82781, 152966, 152980.0, 152980.0, NA, NA, 66, 2, 2.95, False, False, False, False, False, 16.66
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 2, NA, 1.0, 123984, 204031, 204045.0, 204045.0, NA, NA, 75, 2, 3.54, False, False, False, False, False, 21.52
soc-dogster.e, reduced_model, 426816, 8543549, 12, 2, NA, 1.0, 219514, 214490, 214506.0, 214506.0, NA, NA, 1562, 7, 59.86, False, False, False, False, False, 534.42
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 2, NA, 442.0, 232270, 231419, 231454.0, 231454.0, NA, NA, 2176, 9, 125.33, False, False, False, False, False, 1310.43
web-Google, reduced_model, 875713, 4322051, 4, 2, NA, 4529.0, 419003, 492655, 492694.0, 492694.0, NA, NA, 10946, 6, 149.61, False, False, False, False, False, 333.31
web-hudong.e, reduced_model, 1974655, 14428382, 5, 2, NA, 421.0, 957457, 1055322, 1055345.0, 1055345.0, NA, NA, 2036, 4, 113.6, False, False, False, False, False, 908.73
web-baidu-baike.e, reduced_model, 2140198, 17014946, 3, 2, NA, 1.0, 894172, 1277646, 1277663.0, 1277663.0, NA, NA, 881, 2, 68.96, False, False, False, False, False, 1109.0
facebook_combined, reduced_model, 4039, 88234, 20, 2, NA, 1.0, 2316, 1854, 1876.0, 1876.0, NA, NA, 356, 8, 0.42, False, False, False, False, False, 6.94
Brightkite_edges, reduced_model, 58228, 214078, 20, 2, NA, 15666.0, 57768, 947, 998.0, 998.0, NA, NA, 3152, 20, 0.86, False, False, False, False, False, 144.23
flickrEdges, reduced_model, 105938, 2316948, 20, 2, NA, 1.0, 90168, 15808, 15812.0, 15812.0, NA, NA, 5500, 4, 9.06, False, False, False, False, False, 38.48
Gowalla_edges, reduced_model, 196591, 950327, 20, 2, NA, 4046.0, 190271, 8161, 8219.0, 8219.0, NA, NA, 10268, 14, 7.64, False, False, False, False, False, 51.26
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 2, NA, 1.0, 314053, 3066, 3072.0, 3072.0, NA, NA, 15784, 9, 2.21, False, False, False, False, False, 10.23
com-youtube.ungraph, reduced_model, 1134890, 2987624, 20, 2, NA, 904.0, 1119115, 18890, 18922.0, 18922.0, NA, NA, 19218, 15, 18.35, False, False, False, False, False, 73.37
